simplified,traditional,pinyin,meaning,frequency,hsk_level,pos,radical,simplified_normalized,subtlex_word,subtlex_length,subtlex_pinyin,subtlex_pinyin_input,subtlex_w_count,subtlex_w_million,subtlex_log10w,subtlex_w_cd,subtlex_w_cd_percent,subtlex_log10cd,subtlex_dominant_pos,subtlex_dominant_pos_freq,subtlex_all_pos,subtlex_all_pos_freq,subtlex_eng_tran,subtlex_word_normalized
艾滋病,艾滋病,ài zī bìng,AIDS (loanword),6270,7,n,艹,艾滋病,艾滋病,3.0,ai4 zi1 bing4,aizibing,194.0,5.78,2.2878,82.0,1.31,1.9138,n,194.0,.n.,.194.,"AIDS (loan), acquired immune deficiency syndrome",艾滋病
爱,愛,ài,affection ; to be inclined (to do sth); to tend to (happen) ; to love; to be fond of; to like,130,1,"v,vn,b",爫,爱,爱,1.0,ai4,ai,31122.0,927.73,4.4931,5314.0,85.12,3.7254,v,29380.0,.v.vn.b.,.29380.1729.13.,to love/affection/to be fond of/to like,爱
爱不释手,愛不釋手,ài bù shì shǒu,(idiom) to like sth so much that one is reluctant to put it down; to find sth utterly irresistible,26355,7,v,爫,爱不释手,爱不释手,4.0,ai4 bu4 shi4 shou3,aibushishou,17.0,0.51,1.2304,17.0,0.27,1.2304,v,17.0,.v.,.17.,to love sth too much to part with it (idiom); to fondle admiringly,爱不释手
爱国,愛國,ài guó,patriotic ; to love one's country,7528,4,a,爫,爱国,爱国,2.0,ai4 guo2,aiguo,142.0,4.23,2.1523,102.0,1.63,2.0086,a,142.0,.a.,.142.,to love one's country/patriotic,爱国
爱好,愛好,ài hào,interest; hobby ; to like; to be fond of; to take pleasure in; to be keen on,4902,1,"n,v",爫,爱好,爱好,2.0,ai4 hao4,aihao,452.0,13.47,2.6551,376.0,6.02,2.5752,n,415.0,.n.v.,.415.37.,to like/to take pleasure in/keen on/fond of/interest/hobby/appetite for,爱好
爱护,愛護,ài hù,to cherish ; to love and protect ; to take care of ; to treasure,10522,4,"v,vn",爫,爱护,爱护,2.0,ai4 hu4,aihu,88.0,2.62,1.9445,77.0,1.23,1.8865,v,78.0,.v.vn.,.78.10.,to cherish/to treasure/to take care of/to love and protect,爱护
爱理不理,愛理不理,ài lǐ bù lǐ,(idiom) standoffish; indifferent,69479,7,v,爫,爱理不理,爱理不理,4.0,ai4 li3 bu4 li3,ailibuli,1.0,0.03,0.0,1.0,0.02,0.0,v,1.0,.v.,.1.,to look cold and indifferent/standoffish,爱理不理
爱面子,愛面子,ài miàn zi,to like to look good in the eyes of others; sensitive about how one is regarded by others; proud,44438,7,a,爫,爱面子,爱面子,3.0,ai4 mian4 zi3,aimianzi,6.0,0.18,0.7782,6.0,0.1,0.7782,a,6.0,.a.,.6.,to save face/to worry about losing face/proud of one's reputation/sensitive about losing prestige/sense of propriety,爱面子
爱情,愛情,ài qíng,romance; love (romantic),1164,2,n,爫,爱情,爱情,2.0,ai4 qing2,aiqing,1906.0,56.82,3.2801,964.0,15.44,2.9841,n,1906.0,.n.,.1906.,romance/love (between man and woman),爱情
爱人,愛人,ài ren,lover (non-PRC) ; spouse (PRC),4365,2,n,爫,爱人,爱人,2.0,ai4 ren5,airen,508.0,15.14,2.7059,371.0,5.94,2.5694,n,508.0,.n.,.508.,spouse/husband/wife/sweetheart,爱人
爱惜,愛惜,ài xī,to cherish ; to treasure ; to use sparingly,20535,7,v,爫,爱惜,爱惜,2.0,ai4 xi1,aixi,32.0,0.95,1.5051,31.0,0.5,1.4914,v,32.0,.v.,.32.,to cherish/to treasure/to use sparingly,爱惜
爱心,愛心,ài xīn,"care for others ; charity (bazaar, golf day etc) ; compassion ; heart (the symbol ♥) ; kindness ; love",5809,3,n,爫,爱心,爱心,2.0,ai4 xin1,aixin,172.0,5.13,2.2355,143.0,2.29,2.1553,n,172.0,.n.,.172.,compassion,爱心
碍事,礙事,ài shì,(usu. in the negative) to be of consequence; to matter ; to be in the way; to be a hindrance,34045,7,a,石,碍事,碍事,2.0,ai4 shi4,aishi,101.0,3.01,2.0043,92.0,1.47,1.9638,a,101.0,.a.,.101.,to be of importance/to matter/inconvenient/obstructive/to be a hindrance,碍事
安,安,Ān | ān,(bound form) calm; peaceful ; ampere (abbr. for 培) ; content; satisfied (as in 安于) ; safe; secure; in good health ; surname An ; to bring (a charge against sb) ; to calm; to set at ease ; to harbor (certain intentions) ; to install; to fix; to fit ; to place (sb) in a suitable position (job),1506,4,"v,g,nr,b,r",宀,安,安,1.0,an1,an,1737.0,51.78,3.2398,796.0,12.75,2.9009,v,954.0,.v.g.nr.b.r.,.954.590.141.41.11.,content/calm/still/quiet/to pacify/peace/surname An,安
安定,安定,Ān dìng | ān dìng,"Anting township in Tainan county 台南县, Taiwan ; Valium; diazepam ; stable; calm; settled ; to stabilize",7377,7,"a,an,v",宀,安定,安定,2.0,an1 ding4,anding,263.0,7.84,2.42,218.0,3.49,2.3385,a,137.0,.a.an.v.,.137.79.47.,stable/quiet/settled/stabilize/maintain/stabilized/calm and orderly,安定
安抚,安撫,ān fǔ,to appease ; to pacify ; to placate,12099,7,"v,vn",宀,安抚,安抚,2.0,an1 fu3,anfu,124.0,3.7,2.0934,109.0,1.75,2.0374,v,116.0,.v.vn.,.116.8.,to placate/to pacify/to appease,安抚
安检,安檢,ān jiǎn,security check (abbr. for 安全检查) ; to do a security check,13665,6,n,宀,安检,安检,2.0,an1 jian3,anjian,82.0,2.44,1.9138,68.0,1.09,1.8325,n,82.0,.n.,.82.,safety check,安检
安静,安靜,ān jìng,calm ; peaceful ; quiet,2501,2,a,宀,安静,安静,2.0,an1 jing4,anjing,2951.0,87.97,3.47,1753.0,28.08,3.2438,a,2951.0,.a.,.2951.,quiet/peaceful/calm,安静
安眠药,安眠藥,ān mián yào,sleeping pill,16000,7,n,宀,安眠药,安眠药,3.0,an1 mian2 yao4,anmianyao,180.0,5.37,2.2553,132.0,2.11,2.1206,n,180.0,.n.,.180.,sleeping pill,安眠药
安宁,安寧,Ān níng | ān níng,"Anning City, to the west of Kunming 明, Yunnan ; Anning District of Lanzhou City 兰州市, Gansu ; calm ; composed ; free from worry ; peaceful ; tranquil",9417,7,"an,a",宀,安宁,安宁,2.0,an1 ning2,anning,243.0,7.24,2.3856,197.0,3.16,2.2945,an,164.0,.an.a.,.164.79.,peaceful/tranquil/calm/composed/free from worry,安宁
安排,安排,ān pái,arrangements ; plans ; to arrange ; to plan ; to set up,900,3,"v,vn",宀,安排,安排,2.0,an1 pai2,anpai,3776.0,112.56,3.577,2247.0,35.99,3.3516,v,3329.0,.v.vn.,.3329.447.,to arrange/to plan/to set up,安排
安全,安全,ān quán,safe; secure ; safety; security,364,2,"an,a,ad,n",宀,安全,安全,2.0,an1 quan2,anquan,9541.0,284.41,3.9796,3339.0,53.48,3.5236,an,7541.0,.an.a.ad.n.,.7541.1684.312.4.,safe/secure/safety/security,安全
安慰,安慰,ān wèi,to comfort ; to console,3563,5,"v,vn,an,a",宀,安慰,安慰,2.0,an1 wei4,anwei,781.0,23.28,2.8927,616.0,9.87,2.7896,v,605.0,.v.vn.an.a.,.605.92.70.14.,to comfort/to console,安慰
安稳,安穩,ān wěn,steady; stable; sedate; calm; (of sleep) sound; (of a transition) smooth,12368,7,"a,ad",宀,安稳,安稳,2.0,an1 wen3,anwen,106.0,3.16,2.0253,100.0,1.6,2.0,a,94.0,.a.ad.,.94.12.,smooth and steady,安稳
安心,安心,ān xīn,at ease ; to feel relieved ; to keep one's mind on sth ; to set one's mind at rest,5992,7,"a,ad",宀,安心,安心,2.0,an1 xin1,anxin,327.0,9.75,2.5145,290.0,4.65,2.4624,a,215.0,.a.ad.,.215.112.,at ease/to feel relieved/to set one's mind at rest/to keep one's mind on sth,安心
安逸,安逸,ān yì,easy ; easy and comfortable,14622,7,"a,an",宀,安逸,安逸,2.0,an1 yi4,anyi,62.0,1.85,1.7924,56.0,0.9,1.7482,a,48.0,.a.an.,.48.14.,easy and comfortable/easy,安逸
安置,安置,ān zhì,placement ; to arrange for ; to find a place for ; to get into bed ; to help settle down,5845,4,"v,vn",宀,安置,安置,2.0,an1 zhi4,anzhi,238.0,7.09,2.3766,205.0,3.28,2.3118,v,215.0,.v.vn.,.215.23.,find a place for/help settle down/arrange for,安置
安装,安裝,ān zhuāng,installation ; to erect ; to fix ; to install ; to mount,3653,3,"v,vn",宀,安装,安装,2.0,an1 zhuang1,anzhuang,355.0,10.58,2.5502,271.0,4.34,2.433,v,346.0,.v.vn.,.346.9.,install/erect/fix/mount/installation,安装
岸,㟁 | 岸,àn,bank; shore; beach; coast ; variant of 岸,6867,5,"n,g",山,岸,岸,1.0,an4,an,187.0,5.57,2.2718,115.0,1.84,2.0607,n,179.0,.n.g.,.179.8.,bank/shore/beach/coast,岸
岸上,岸上,àn shàng,ashore ; on the riverbank,18516,5,s,山,岸上,岸上,2.0,an4 shang4,anshang,58.0,1.73,1.7634,48.0,0.77,1.6812,s,58.0,.s.,.58.,ashore,岸上
按,按,àn,(of an editor or author) to make a comment ; according to ; in the light of ; to check or refer to ; to control ; to keep one's hand on ; to leave aside or shelve ; to press ; to push ; to restrain,678,3,"p,v",扌,按,按,1.0,an4,an,3752.0,111.84,3.5743,2275.0,36.44,3.357,p,3677.0,.p.v.,.3677.75.,to press (with the hand)/to push/to control/to restrain/to check/pressing down (brush movement in painting)/according to/in the light of,按
按键,按鍵,àn jiàn,button or key (on a device) ; keystroke ; to press a button,13672,7,n,扌,按键,按键,2.0,an4 jian4,anjian,43.0,1.28,1.6335,38.0,0.61,1.5798,n,43.0,.n.,.43.,"a button or key (on keyboard, touchpad, piano etc)/a keystroke/to press (a button)",按键
按理说,按理說,àn lǐ shuō,it is reasonable to say that...,25769,7,v,扌,按理说,按理说,3.0,an4 li3 shuo1,anlishuo,24.0,0.72,1.3802,22.0,0.35,1.3424,v,24.0,.v.,.24.,it is reasonable to say that...,按理说
按摩,按摩,àn mó,massage ; to massage,3990,5,"vn,v",扌,按摩,按摩,2.0,an4 mo2,anmo,693.0,20.66,2.8407,385.0,6.17,2.5855,vn,387.0,.vn.v.,.387.306.,massage,按摩
按时,按時,àn shí,before deadline ; on schedule ; on time,7233,4,d,扌,按时,按时,2.0,an4 shi2,anshi,239.0,7.12,2.3784,211.0,3.38,2.3243,d,239.0,.d.,.239.,on time/before deadline/on schedule,按时
按说,按說,àn shuō,in the ordinary course of events; ordinarily; normally,32917,7,d,扌,按说,按说,2.0,an4 shuo1,anshuo,10.0,0.3,1.0,10.0,0.16,1.0,d,10.0,.d.,.10.,in the ordinary course of events/ordinarily/normally,按说
按照,按照,àn zhào,according to ; in accordance with ; in the light of ; on the basis of,1378,3,"p,v",扌,按照,按照,2.0,an4 zhao4,anzhao,1206.0,35.95,3.0813,948.0,15.19,2.9768,p,1205.0,.p.v.,.1205.1.,according to/in accordance with/in the light of/on the basis of,按照
案件,案件,àn jiàn,case ; instance,1617,7,n,木,案件,案件,2.0,an4 jian4,anjian,1578.0,47.04,3.1981,784.0,12.56,2.8943,n,1578.0,.n.,.1578.,law case/legal case/judicial case,案件
暗,晻 | 暗 | 闇,àn,(literary) confused; ignorant ; (literary) to close (a door) ; confused; ignorant (variant of 暗) ; dark ; dark (variant of 暗) ; secret; hidden ; to eclipse ; to turn dark ; variant of 暗,2594,4,"a,ad",日,暗,暗,1.0,an4,an,881.0,26.26,2.945,582.0,9.32,2.7649,a,568.0,.a.ad.,.568.313.,dark/gloomy/hidden/secret/muddled/obscure/in the dark; dark/gloomy/muddled/obscure/in the dark/to close (a door)/night/eclipse/stupid/ignorant,暗
暗地里,暗地裡,àn dì li,secretly; inwardly; on the sly,20436,7,d,日,暗地里,暗地里,3.0,an4 de5 li3,andili,75.0,2.24,1.8751,70.0,1.12,1.8451,d,75.0,.d.,.75.,secretly/inwardly/on the sly,暗地里
暗杀,暗殺,àn shā,to assassinate,9964,7,"v,vn",日,暗杀,暗杀,2.0,an4 sha1,ansha,366.0,10.91,2.5635,215.0,3.44,2.3324,v,252.0,.v.vn.,.252.114.,assassinate,暗杀
暗示,暗示,àn shì,hint; suggestion ; to hint; to suggest,4917,4,"v,vn",日,暗示,暗示,2.0,an4 shi4,anshi,835.0,24.89,2.9217,626.0,10.03,2.7966,v,775.0,.v.vn.,.775.60.,to hint/to suggest/suggestion/a hint,暗示
暗中,暗中,àn zhōng,in secret ; in the dark ; on the sly ; surreptitiously,9222,7,"d,s",日,暗中,暗中,2.0,an4 zhong1,anzhong,148.0,4.41,2.1703,136.0,2.18,2.1335,d,135.0,.d.s.,.135.13.,in the dark/in secret/on the sly/surreptitiously,暗中
昂贵,昂貴,áng guì,costly ; expensive,7743,7,a,日,昂贵,昂贵,2.0,ang2 gui4,anggui,250.0,7.45,2.3979,225.0,3.6,2.3522,a,250.0,.a.,.250.,expensive/costly,昂贵
凹,凹,wā | āo,(used in names) ; concave ; depressed ; female (connector etc) ; indented ; sunken ; variant of 洼,10239,7,a,凵,凹,凹,1.0,ao1/wa1,ao,100.0,2.98,2.0,79.0,1.27,1.8976,a,100.0,.a.,.100.,a depression/indentation/concave/hollow,凹
熬,熬,áo | āo,to boil ; to cook on a slow fire ; to decoct ; to endure ; to extract by heating ; to simmer,4418,7,v,灬,熬,熬,1.0,ao1/ao2,ao,692.0,20.63,2.8401,567.0,9.08,2.7536,v,692.0,.v.,.692.,to boil/stew/to simmer; endure/to boil,熬
熬夜,熬夜,áo yè,to stay up late or all night,9364,7,v,灬,熬夜,熬夜,2.0,ao2 ye4,aoye,126.0,3.76,2.1004,105.0,1.68,2.0212,v,126.0,.v.,.126.,stay up late or all night,熬夜
傲,傲,ào,arrogant ; proud ; to defy ; to despise ; unyielding,7205,7,"g,a,ad",亻,傲,傲,1.0,ao4,ao,165.0,4.92,2.2175,143.0,2.29,2.1553,g,112.0,.g.a.ad.,.112.52.1.,proud/overbearing/insolent/arrogant,傲
傲慢,傲慢,ào màn,arrogant ; haughty,11766,7,"a,an",亻,傲慢,傲慢,2.0,ao4 man4,aoman,343.0,10.22,2.5353,253.0,4.05,2.4031,a,297.0,.a.an.,.297.46.,arrogant/haughty,傲慢
奥秘,奧祕,ào mì,mystery ; secret,18113,7,n,大,奥秘,奥秘,2.0,ao4 mi4,aomi,54.0,1.61,1.7324,47.0,0.75,1.6721,n,54.0,.n.,.54.,profound/deep/a mystery,奥秘
奥运会,奧運會,Aò yùn huì,Olympic Games ; abbr. for 奥林匹克运动会 ; the Olympics,5746,7,n,大,奥运会,奥运会,3.0,Ao4 yun4 hui4,aoyunhui,168.0,5.01,2.2253,108.0,1.73,2.0334,n,168.0,.n.,.168.,abbr. for 奥林匹克运动会/Olympic Games/the Olympics,奥运会
八,八,bā,eight; 8,1362,1,"m,t",八,八,八,1.0,ba1/ba2,ba,2090.0,62.3,3.3201,1289.0,20.65,3.1103,m,2069.0,.m.t.,.2069.21.,eight/8,八
八卦,八卦,bā guà,gossip ; gossipy ; the eight divinatory trigrams of the Book of Changes 易经,6491,7,n,八,八卦,八卦,2.0,ba1 gua4,bagua,468.0,13.95,2.6702,248.0,3.97,2.3945,n,468.0,.n.,.468.,the eight divinatory trigrams of the Book of Changes 易经/to gossip,八卦
扒,扒,bā | pá,to braise ; to cling to (sth on which one is climbing) ; to crawl ; to dig ; to peel ; to pull down ; to rake up ; to skin ; to steal ; to tear,8554,7,v,扌,扒,扒,1.0,ba1/pa1/pa2,ba,172.0,5.13,2.2355,128.0,2.05,2.1072,v,172.0,.v.,.172.,to hold on to/to cling to/to dig up/to rake/to push aside/to climb/to pull out/to strip off; climb/crawl/snatch,扒
芭蕾,芭蕾,bā lěi,ballet (loanword),12522,7,n,艹,芭蕾,芭蕾,2.0,ba1 lei3,balei,286.0,8.53,2.4564,120.0,1.92,2.0792,n,286.0,.n.,.286.,ballet,芭蕾
拔,拔,bá,to draw out by suction ; to pick ; to pull out ; to pull up ; to seize ; to select ; to stand out (above level) ; to surpass,3803,5,v,扌,拔,拔,1.0,ba2,ba,787.0,23.46,2.896,517.0,8.28,2.7135,v,787.0,.v.,.787.,to pull up/to pull out/to draw out by suction/to select/to pick/to stand out (above level)/to surpass/to seize,拔
把,把,bà | bǎ,"(used to put the object before the verb: 把 + {noun} + {verb}) ; classifier for things with handles ; classifier: handful, bundle, bunch ; handle ; handlebar ; to hold a baby in position to help it urinate or defecate ; to hold; to grasp",50,3,"p,qv,v,m",扌,把,把,1.0,ba3/ba4,ba,124534.0,3712.28,5.0953,6234.0,99.86,3.7948,p,120882.0,.p.qv.v.m.,.120882.2851.765.36.,to hold/to contain/to grasp/to take hold of/a handle/particle marking the following noun as a direct object/classifier for objects with handle; handle,把
把柄,把柄,bǎ bǐng,(fig.) information that can be used against sb ; handle,20374,7,n,扌,把柄,把柄,2.0,ba3 bing3,babing,188.0,5.6,2.2742,154.0,2.47,2.1875,n,188.0,.n.,.188.,handle,把柄
把关,把關,bǎ guān,to check on sth ; to guard a pass,24750,7,v,扌,把关,把关,2.0,ba3 guan1,baguan,10.0,0.3,1.0,10.0,0.16,1.0,v,10.0,.v.,.10.,guard a pass/check on,把关
把手,把手,bǎ shou | bǎ shǒu,grip ; handle ; knob ; to shake hands,8291,7,n,扌,把手,把手,2.0,ba3 shou3,bashou,146.0,4.35,2.1644,134.0,2.15,2.1271,n,146.0,.n.,.146.,handle/grip/knob,把手
把握,把握,bǎ wò,assurance ; certainty ; sure (of the outcome) ; to grasp (also fig.) ; to hold ; to seize,3068,3,"v,vn,n",扌,把握,把握,2.0,ba3 wo4,bawo,549.0,16.37,2.7396,439.0,7.03,2.6425,v,506.0,.v.vn.n.,.506.41.2.,grasp/seize/hold/assurance/certainty,把握
靶子,靶子,bǎ zi,target,21978,7,n,革,靶子,靶子,2.0,ba3 zi5,bazi,108.0,3.22,2.0334,93.0,1.49,1.9685,n,108.0,.n.,.108.,target,靶子
坝,壩,bà,dam ; dike; embankment,18700,7,n,土,坝,坝,1.0,ba4,ba,14.0,0.42,1.1461,10.0,0.16,1.0,n,14.0,.n.,.14.,dam/dike/embankment,坝
爸,爸,bà,dad ; father ; pa ; papa,1142,1,n,父,爸,爸,1.0,ba4,ba,9154.0,272.87,3.9616,2424.0,38.83,3.3845,n,9154.0,.n.,.9154.,father/dad/pa/papa,爸
爸爸,爸爸,bà ba,(coll.) father; dad,908,1,n,父,爸爸,爸爸,2.0,ba4 ba5,baba,21930.0,653.72,4.341,3747.0,60.02,3.5737,n,21930.0,.n.,.21930.,(informal) father,爸爸
霸占,霸佔,bà zhàn,to dominate ; to occupy by force ; to seize,17196,7,v,雨,霸占,霸占,2.0,ba4 zhan4,bazhan,62.0,1.85,1.7924,57.0,0.91,1.7559,v,62.0,.v.,.62.,to occupy by force/to seize/to dominate,霸占
巴不得,巴不得,bā bu de,(coll.) to be eager for ; to long for ; to look forward to,22440,7,v,巳,巴不得,巴不得,3.0,ba1 bu4 de2,babude,74.0,2.21,1.8692,70.0,1.12,1.8451,v,74.0,.v.,.74.,avid/eager for/longing for/to look forward to,巴不得
巴士,巴士,bā shì,bus (loanword) ; motor coach,8312,4,n,巳,巴士,巴士,2.0,ba1 shi4,bashi,443.0,13.21,2.6464,206.0,3.3,2.3139,n,443.0,.n.,.443.,bus/motor coach,巴士
吧,吧,ba | biā | bā,"(modal particle indicating suggestion or surmise) ; (onom.) bang ; (onom.) smack! ; ...I presume. ; ...OK? ; ...right? ; abbr. for 贴吧 ; bar (loanword) (serving drinks, or providing Internet access etc) ; to puff (on a pipe etc)",58,1,y,口,吧,吧,1.0,ba1/ba5,ba,194084.0,5785.52,5.288,6238.0,99.92,3.795,y,194084.0,.y.,.194084.,(onomat.)/dumb; (modal particle indicating polite suggestion)/...right?/...OK?,吧
罢工,罷工,bà gōng,a strike ; to go on strike,8001,6,"vn,v",罒,罢工,罢工,2.0,ba4 gong1,bagong,234.0,6.98,2.3692,93.0,1.49,1.9685,vn,124.0,.vn.v.,.124.110.,a strike/to go on strike,罢工
罢了,罷了,bà le | bà liǎo,"a modal particle indicating (don't mind it, ok) ; a modal particle indicating (that's all, only, nothing much)",3807,6,y,罒,罢了,罢了,2.0,ba4 liao3,baliao,1373.0,40.93,3.1377,985.0,15.78,2.9934,y,1373.0,.y.,.1373.,"a modal particle indicating (that's all, only, nothing much); a modal particle indicating (don't mind it, ok)",罢了
罢免,罷免,bà miǎn,to dismiss ; to remove sb from their post,28683,7,v,罒,罢免,罢免,2.0,ba4 mian3,bamian,7.0,0.21,0.8451,6.0,0.1,0.7782,v,7.0,.v.,.7.,recall,罢免
罢休,罷休,bà xiū,forget it ; let the matter drop ; to abandon (a goal etc) ; to give up ; to let sth go,17351,7,v,罒,罢休,罢休,2.0,ba4 xiu1,baxiu,147.0,4.38,2.1673,143.0,2.29,2.1553,v,147.0,.v.,.147.,to give up/to abandon (a goal etc)/to let sth go/forget it/let the matter drop,罢休
掰,掰,bāi,(fig.) to break off (a relationship) ; to break off or break open sth with one's hands,11771,7,v,手,掰,掰,1.0,bai1/bo4,bai,119.0,3.55,2.0755,108.0,1.73,2.0334,v,119.0,.v.,.119.,to break with both hands,掰
白,白,Bái | bái,anti-communist ; blank ; bright ; clear ; empty ; free of charge ; funeral ; gratuitous ; in vain ; plain ; pure ; reactionary ; snowy ; spoken lines in opera ; surname Bai ; to explain ; to make clear ; to stare coldly ; to state ; to write wrong character ; vernacular ; white,930,1,"a,nr,d,b,v,g",白,白,白,1.0,bai2,bai,2684.0,80.01,3.4288,1565.0,25.07,3.1945,a,1829.0,.a.nr.d.b.v.g.,.1829.492.335.24.3.1.,white/snowy/pure/bright/empty/blank/plain/clear/to make clear/in vain/gratuitous/free of charge/reactionary/anti-communist/funeral/to stare coldly/to write wrong character/to state/to explain/vernacular/spoken lines in opera/surname Bai,白
白白,白白,bái bái,for nothing ; in vain ; to no purpose ; white,10131,7,d,白,白白,白白,2.0,bai2 bai2,baibai,159.0,4.74,2.2014,143.0,2.29,2.1553,d,159.0,.d.,.159.,in vain/to no purpose/for nothing,白白
白菜,白菜,bái cài,Chinese cabbage ; pak choi,16930,3,n,白,白菜,白菜,2.0,bai2 cai4,baicai,26.0,0.78,1.415,16.0,0.26,1.2041,n,26.0,.n.,.26.,Chinese cabbage/pak choi or bok choi,白菜
