simplified,pinyin,meaning,hsk_level,pos,radical,Difficulty_Human_PCA
丈夫,zhàng fu,husband,4.0,n,一,-0.8739796580912725
上任,shàng rèn,predecessor ; previous (incumbent) ; to take office,7.0,v,一,-0.670756459647892
上来,shàng lái,(verb complement indicating success) ; to approach ; to come up,3.0,v,一,0.4213656381538011
上升,shàng shēng,to ascend ; to go up ; to rise,3.0,"v,vn",一,-1.0399691379217082
上午,shàng wǔ,morning,1.0,t,一,0.18092051388193287
上去,shàng qù,to go up,3.0,v,一,1.8278913389284341
上台,shàng tái,to go on stage (in the theater) ; to rise to power (in politics),6.0,v,一,-1.0650953885940795
上司,shàng si,boss ; superior,7.0,n,一,0.025215872409619252
上周,shàng zhōu,last week,2.0,t,一,1.766288911038109
上报,shàng bào,to appear in the news ; to reply to a letter ; to report to one's superiors,7.0,v,一,2.4320812527267623
上场,shàng chǎng,on stage ; to go on stage ; to take the field,7.0,"v,vn",一,0.06439061564787497
上学,shàng xué,to attend school ; to go to school,1.0,v,一,-1.5898825205128915
上市,shàng shì,to float (a company on the stock market) ; to hit the market (of a new product),6.0,"v,vn",一,-0.37212916934934104
上帝,Shàng dì,God,6.0,n,一,-0.9777511492481672
上方,shàng fāng,place above (it) ; upper part (of it),7.0,"f,b",一,2.669662244797633
上旬,shàng xún,first third of a month,7.0,t,一,1.6095899380850844
上映,shàng yìng,to screen; to show (a movie),7.0,"v,vn",一,-0.8784060442200831
上楼,shàng lóu,to go upstairs,4.0,v,一,-0.9934920835691856
上次,shàng cì,last time,1.0,t,一,-1.0281220456357703
上流,shàng liú,upper class,7.0,"b,n",一,-0.04900298194609373
上游,shàng yóu,upper echelon ; upper level ; upper reaches (of a river) ; upstream,7.0,f,一,2.8717373383640674
上演,shàng yǎn,a screening ; a staging ; to screen (a movie) ; to stage (a play),6.0,"v,vn",一,-0.7046052947505679
上涨,shàng zhǎng,to go up ; to rise,5.0,"v,vn",一,0.6330510453728507
上班,shàng bān,to be on duty ; to go to the office ; to go to work ; to start work,1.0,"v,vn",一,-1.1334439979360236
上当,shàng dàng,taken in (by sb's deceit) ; to be duped ; to be fooled,6.0,v,一,-0.4219675216432152
上瘾,shàng yǐn,to become addicted ; to get into a habit,7.0,"v,vn",一,-0.3057215846327092
上空,shàng kōng,in the sky ; overhead,7.0,"s,n",一,3.2222506078402025
上级,shàng jí,higher authorities ; superiors,5.0,n,一,-0.5649373416072833
上衣,shàng yī,jacket ; upper outer garment,3.0,n,一,0.6865464496160844
上诉,shàng sù,appeal ; to appeal (a judicial case),7.0,"v,vn",一,-1.3569764974410097
上课,shàng kè,to attend class ; to go to class ; to go to teach a class,1.0,"v,vn",一,-1.612795578120859
上车,shàng chē,"to get on or into (a bus, train, car etc)",1.0,v,一,-0.5364026218557268
上述,shàng shù,above-mentioned ; aforementioned,7.0,b,一,0.14434952719003602
上边,shàng bian,above ; above-mentioned ; overhead ; the top ; the top margin ; those higher up ; upwards,1.0,"f,n",一,6.135665031467183
上门,shàng mén,"(of a shop) to close ; to drop in ; to go and live with one's wife's family, in effect becoming a member of her family ; to lock a door ; to visit",4.0,"v,vn",一,-0.6559268401180987
上限,shàng xiàn,upper bound,7.0,n,一,0.8310785235079695
上面,shàng miàn,above-mentioned ; also pr. [shàng mian] ; on top of,3.0,f,一,-1.0009127897263117
上头,shàng tou | shàng tóu,(of a prostitute) to receive a patron for the first time ; (of alcohol) to go to one's head ; (old) (of a bride-to-be) to bind one's hair into a bun ; above ; on the surface of ; on top of,7.0,f,一,2.2421372126698165
下令,xià lìng,to command ; to give an order,7.0,v,一,0.2552459704960461
下来,xià lai,"(after verb of motion, indicates motion down and towards us, also fig.) ; (completed action marker) ; (indicates continuation from the past towards us) ; to be harvested (of crops) ; to be over (of a period of time) ; to come down ; to go among the masses (said of leaders)",3.0,v,一,0.04696903235618013
下午,xià wǔ,afternoon ; p.m.,1.0,t,一,-1.4158213953887404
下去,xià qù,(of a servant) to withdraw ; to continue ; to descend ; to go down ; to go on,3.0,v,一,0.3898601839428469
下场,xià chang | xià chǎng,"the end ; to conclude ; to leave (the stage, an exam room, the playing field etc) ; to take an examination (in the imperial examination system) ; to take part in some activity",7.0,"n,v",一,-0.7209023587342326
下属,xià shǔ,subordinate ; underling,7.0,"v,vn,n",一,-0.8898861585929823
下山,xià shān,(of the sun or moon) to set ; to go down a hill,7.0,v,一,1.2757883488417614
下岗,xià gǎng,"(of a guard, sentry etc) to come off duty ; (of a worker) be to laid off",7.0,"v,vn",一,1.450358432490724
下手,xià shǒu,the seat to the right of the main guest ; to put one's hand to ; to set about ; to start,7.0,"v,n",一,0.8423930717001757
下旬,xià xún,last third of the month,7.0,t,一,2.5234849002884476
下棋,xià qí,to play chess,7.0,v,一,0.2068160987337554
下楼,xià lóu,to go downstairs,4.0,,一,-0.05069542370122755
下次,xià cì,next time,1.0,t,一,-1.2869354463439318
下海,xià hǎi,"(fig.) to take the plunge (e.g. leave a secure job, or enter prostitution etc) ; to enter the sea (to swim etc) ; to go out to sea",7.0,v,一,0.3163158542926408
下游,xià yóu,downstream ; lower echelon ; lower level ; lower reaches (of a river),7.0,"f,n,s",一,1.6856196292387888
下班,xià bān,to finish work ; to get off work,1.0,"v,vn",一,0.41122278040745563
下级,xià jí,low level ; low ranking ; subordinate ; underclass,7.0,n,一,-0.14858487705989606
下落,xià luò,to drop ; to fall ; whereabouts,7.0,"n,v",一,0.13286941281713693
下课,xià kè,(fig.) (esp. of a sports coach) to be dismissed ; to be fired ; to finish class ; to get out of class,1.0,"v,vn",一,-1.2966995333927809
下跌,xià diē,to fall ; to tumble,7.0,v,一,0.6887596426804896
下车,xià chē,"to get off or out of (a bus, train, car etc)",1.0,"v,vn",一,-0.7864934381335837
下乡,xià xiāng,to go to the countryside,7.0,v,一,1.521038629939934
下降,xià jiàng,to decline ; to decrease ; to drop ; to fall ; to go down,4.0,"v,vn",一,-1.1079271837816973
下雨,xià yǔ,to rain,1.0,v,一,-1.1705475287216507
下雪,xià xuě,to snow,2.0,v,一,-0.8638250075604683
不久,bù jiǔ,before too long ; not long (after) ; soon ; soon after,2.0,"m,d,t",一,-0.7779010415305955
不但,bù dàn,not only (... but also ...),2.0,c,一,0.413305785644543
不便,bù biàn,inappropriate ; inconvenient ; short of cash ; unsuitable,6.0,"an,a,ad,v",一,0.2877929273255433
不仅,bù jǐn,"(as a correlative conjunction) not only (..., but also ...) ; not just; not limited to",3.0,c,一,-0.06838917543201538
不免,bù miǎn,inevitably,5.0,d,一,2.097403727045587
不再,bù zài,no longer ; no more,6.0,d,一,0.8518849903099307
不准,bù zhǔn,not to allow ; to forbid ; to prohibit,7.0,v,一,0.9173694674508787
不利,bù lì,detrimental ; disadvantageous ; harmful ; unfavorable,5.0,a,一,0.4700440927862691
不同,bù tóng,different ; distinct ; not alike ; not the same,2.0,"a,an",一,-0.3019461376404865
不堪,bù kān,cannot bear ; cannot stand ; extremely ; utterly,7.0,v,一,0.07013067283432449
不够,bù gòu,inadequate ; insufficient ; not enough,2.0,a,一,-0.4312226501672502
不如,bù rú,inferior to ; it would be better to ; not as good as ; not equal to,2.0,"v,c",一,-1.1449005267400065
不妨,bù fáng,might as well ; there is no harm in,7.0,"d,v",一,-0.34061192235392956
不安,bù ān,disturbed ; restless ; uneasy ; unpeaceful ; unstable ; worried,3.0,"a,an",一,0.21917214954450498
不宜,bù yí,inadvisable ; inappropriate ; not suitable,7.0,v,一,2.157917481179536
不容,bù róng,cannot ; cannot tolerate ; must not ; to not allow,7.0,v,一,2.9040121267544716
不对,bù duì,abnormal ; amiss ; incorrect ; queer ; wrong,1.0,a,一,-0.3492161117413752
不少,bù shǎo,a lot ; many ; not few,2.0,m,一,0.2700873828102981
不屑,bù xiè,to disdain to do sth ; to feel it beneath one's dignity ; to think sth not worth doing,7.0,v,一,0.03509835450132748
不平,bù píng,dissatisfied ; grievance ; indignant ; injustice ; uneven ; unfairness ; wrong,7.0,"a,an",一,1.8225536380083969
不幸,bù xìng,adversity ; misfortune ; sad ; unfortunate ; unfortunately,5.0,"a,n,ad",一,-0.28373163460042716
不必,bù bì,does not have to ; need not ; not necessarily,3.0,d,一,0.49141848203533633
不惜,bù xī,not hesitate (to do sth) ; not scruple (to do sth) ; not spare ; not stint,7.0,v,一,0.046696863917087106
不慎,bù shèn,inattentive ; incautious,7.0,d,一,0.23833334572916695
不料,bù liào,to one's surprise ; unexpectedly,6.0,d,一,0.9241510272558723
不断,bù duàn,constant ; continuous ; unceasing ; uninterrupted,3.0,d,一,-0.5891404847039705
不时,bù shí,frequently ; from time to time ; now and then ; occasionally,5.0,d,一,1.4085681399216505
不曾,bù céng,hasn't ever ; hasn't yet,5.0,d,一,8.55739147873934
不服,bù fú,not to accept sth ; not to give in to ; to refuse to accept as final ; to refuse to obey or comply ; to remain unconvinced by ; to want to have sth overruled or changed,7.0,v,一,1.4769049564791359
不满,bù mǎn,discontented ; dissatisfied ; resentful,2.0,"an,a,v",一,-0.416393030637457
不然,bù rán,How about ...? ; if not ; no ; not so ; or else ; otherwise,4.0,"c,v,a",一,0.9947128296622232
不理,bù lǐ,to ignore ; to pay no attention to ; to refuse to acknowledge ; to take no notice of,7.0,v,一,0.6489339603056442
不用,bù yòng,need not,1.0,d,一,-0.7026524773407983
不知,bù zhī,"fig. not to admit (defeat, hardships, tiredness etc) ; not to know ; unaware ; unknowingly",7.0,v,一,-0.9419494967357205
不禁,bù jīn,can't help (doing sth) ; can't refrain from,6.0,d,一,3.569650695046889
不管,bù guǎn,no matter ; not to be concerned ; regardless of,4.0,"c,v",一,0.34079116582842267
不肯,bù kěn,Refuse,7.0,v,一,-0.7043567118803908
不良,bù liáng,bad ; harmful ; unhealthy,5.0,a,一,0.5010523812568677
不行,bù xíng,be no good ; be out of the question ; not be capable ; not work ; won't do,2.0,a,一,0.4406334365968622
不要,bù yào,don't! ; must not,2.0,d,一,-1.1600141074933517
不解,bù jiě,indissoluble ; to be puzzled by ; to not understand,7.0,v,一,1.2458333557741648
不许,bù xǔ,can't ; must not ; not to allow,5.0,d,一,0.8857338254126066
不论,bù lùn,"no matter what (who, how etc) ; not to discuss ; regardless of ; whatever",3.0,c,一,1.070860915858787
不足,bù zú,cannot ; deficiency ; inadequate ; insufficient ; lacking ; not enough ; not worth ; should not,5.0,"v,an,a",一,-0.6634777341025425
不过,bù guò,anyway (to get back to a previous topic) ; but ; cannot be more (after adjectival) ; however ; merely ; no more than ; only,2.0,"c,d,u",一,-1.295267467292283
不适,bù shì,indisposed ; out of sorts ; unwell,7.0,a,一,1.3007726189023547
不错,bù cuò,correct ; not bad ; pretty good ; right,2.0,a,一,-0.8672216838551947
不顾,bù gù,in spite of; regardless of,5.0,v,一,0.7800331024148597
世代,shì dài,age ; era ; for many generations ; generation,7.0,n,一,-0.48849350140270764
世故,shì gu | shì gù,sophisticated ; the ways of the world ; worldly-wise,7.0,"a,an,n",一,-0.08009428710617679
世界,shì jiè,world,3.0,n,一,-1.5647562698405204
世纪,shì jì,century,3.0,n,一,-0.8398822401184168
世袭,shì xí,hereditary ; inheritance ; succession,7.0,vn,一,0.3461170739640025
丢失,diū shī,to lose; to misplace,7.0,"v,vn",一,-0.048600625679681334
丢掉,diū diào,to cast away ; to discard ; to lose ; to throw away,7.0,v,一,-0.5871758745097422
丢弃,diū qì,to abandon ; to discard,7.0,v,一,0.20539582541771467
丢脸,diū liǎn,humiliation ; to lose face,7.0,a,一,0.046945446787264054
并且,bìng qiě,and ; besides ; furthermore ; in addition ; moreover,3.0,c,干,-0.568949578685224
并列,bìng liè,to be juxtaposed ; to stand side by side,7.0,v,干,1.2964646278164034
并行,bìng xíng,"side by side (of two processes, developments, thoughts etc) ; to proceed in parallel",7.0,"vn,v",干,2.5332489873372968
丫头,yā tou,"(used deprecatingly, but sometimes also as a term of endearment) ; girl ; servant girl",7.0,n,丨,-0.5252064687063797
中介,zhōng jiè,agency ; agent ; inter- ; intermediate ; to act as intermediary ; to link,4.0,n,丨,0.3599287764441674
中午,zhōng wǔ,midday ; noon,1.0,t,丨,-0.9653715128685004
中型,zhōng xíng,medium sized,7.0,b,丨,2.33325689900795
中外,zhōng wài,Chinese-foreign ; Sino-foreign ; home and abroad,6.0,b,丨,5.419051798788406
中央,zhōng yāng,center ; central ; central authorities (of a state) ; middle,5.0,n,丨,0.7156967301508552
中学,zhōng xué,middle school,1.0,n,丨,-1.615138959012582
中年,zhōng nián,middle age,2.0,t,丨,-0.24440311796593597
中庸,Zhōng yōng | zhōng yōng,"(literary) (of person) mediocre ; golden mean (Confucianism) ; ordinary ; the Doctrine of the Mean, one of the Four Books 四书",7.0,n,丨,0.21385803419338367
中心,zhōng xīn,center ; core ; heart,2.0,n,丨,-1.0830731015484192
中文,Zhōng wén,Chinese language,1.0,nz,丨,-1.5354640086939728
中断,zhōng duàn,to break off ; to cut short ; to discontinue ; to interrupt,5.0,"v,vn",丨,-0.47469359170700004
中旬,zhōng xún,middle third of a month,7.0,t,丨,3.4476529080654754
中期,zhōng qī,"medium-term (plan, forecast etc) ; middle (of a period of time)",6.0,f,丨,0.21292313383324127
中止,zhōng zhǐ,to break off ; to cease ; to discontinue ; to stop ; to suspend,7.0,"v,vn",丨,0.04095680673063758
中毒,zhòng dú,to be poisoned,5.0,"v,vn",丨,-0.3674424075658933
中奖,zhòng jiǎng,to win a prize (in a lottery etc),4.0,"v,vn",丨,-1.2523054842773471
中立,zhōng lì,neutral ; neutrality,7.0,"v,vn",丨,-0.3002536958853527
中等,zhōng děng,medium,6.0,b,丨,-0.5961706273791415
中华,Zhōng huá,China (alternate formal name),6.0,nz,丨,-0.11265303672013127
中药,zhōng yào,traditional Chinese medicine,5.0,n,丨,-0.8643457588697413
中途,zhōng tú,midway,7.0,"d,s",丨,-0.8707249624083229
中部,zhōng bù,central section ; middle part,3.0,f,丨,0.8697207226524952
中医,Zhōng yī,a doctor trained in Chinese medicine ; traditional Chinese medical science,2.0,n,丨,-1.1918983324018007
中间,zhōng jiān,during; in the meantime ; in the middle; within; between; among ; the middle; the inside,1.0,f,丨,-1.1115842357310595
中餐,zhōng cān,Chinese food ; Chinese meal ; lunch,2.0,n,丨,1.0587416551337558
主人,zhǔ rén,host ; master ; owner,2.0,n,丶,-1.4186855275897365
主任,zhǔ rèn,director ; head,3.0,n,丶,0.16359374006418248
主力,zhǔ lì,main force ; main strength of an army,7.0,n,丶,0.8776739729033513
主动,zhǔ dòng,active ; drive (of gears and shafts etc) ; opposite: passive 被动 ; spontaneous ; to do sth of one's own accord ; to take the initiative,3.0,"ad,a,an",丶,-1.4210289084814611
主妇,zhǔ fù,hostess ; housewife ; the lady of the house ; woman of senior authority in a household,7.0,n,丶,-0.44437162072636693
主宰,zhǔ zǎi,master ; to dictate ; to dominate ; to rule,7.0,"v,vn",丶,1.7705851093396032
主导,zhǔ dǎo,dominant ; leading ; prevailing ; to direct ; to dominate ; to lead,5.0,"n,v",丶,-0.022042308906810613
主席,zhǔ xí,chairman ; chairperson ; premier,4.0,n,丶,-1.1307100535623453
主张,zhǔ zhāng,assertion ; position ; proposition ; stand ; to advocate ; to stand for ; view ; viewpoint,3.0,"v,n",丶,-1.0304654265274948
主意,zhǔ yi,Beijing pr. [zhú yi] ; decision ; idea ; plan,3.0,n,丶,-0.5709259816639097
主持,zhǔ chí,(TV) anchor ; to host (a TV or radio program etc) ; to manage or direct ; to preside over ; to stand for (justice etc) ; to take charge of ; to uphold,3.0,"v,vn",丶,-1.1958039672213399
主权,zhǔ quán,sovereignty,7.0,n,丶,-0.19858879553446146
主流,zhǔ liú,fig. the essential point ; main stream (of a river) ; main viewpoint of a matter ; mainstream (culture etc),6.0,n,丶,0.050093540211811984
主演,zhǔ yǎn,lead actor ; to act the leading role (in a movie or a play) ; to star,7.0,,丶,-0.7586332430875343
主管,zhǔ guǎn,in charge ; manager ; person in charge ; responsible for,5.0,"vn,n,v",丶,-0.09312486262243296
主编,zhǔ biān,editor in chief,7.0,"n,v",丶,0.5195154671671042
主义,zhǔ yì,-ism ; ideology,7.0,n,丶,-0.36145376750926683
主要,zhǔ yào,main ; major ; primary ; principal,2.0,"b,d",丶,-0.9931133128716894
主观,zhǔ guān,subjective,5.0,"a,n",丶,-1.2431923363650874
主角,zhǔ jué,leading role; lead ; protagonist,6.0,n,丶,-1.1708196971607436
主办,zhǔ bàn,to host (a conference or sports event) ; to organize,5.0,"v,vn",丶,-0.46350923134211164
主题,zhǔ tí,subject ; theme,4.0,n,丶,-1.1766663566055966
主食,zhǔ shí,staple food,7.0,n,丶,1.9013172735357797
主体,zhǔ tǐ,agent ; body ; bulk ; main part ; subject,5.0,n,丶,-0.12006195009279845
乃至,nǎi zhì,and even ; to go so far as to,7.0,c,丿,6.147523916537579
久违,jiǔ wéi,(haven't done sth) for a long time ; a long time since we last met,7.0,v,丿,0.7446102205999078
之下,zhī xià,beneath ; less than ; under,5.0,f,丿,5.257204743863228
之中,zhī zhōng,among ; during ; in the midst of (doing sth) ; inside,5.0,f,丿,5.5944978188752215
之内,zhī nèi,inside ; within,5.0,f,丿,6.158222903946571
之前,zhī qián,ago ; before ; beforehand ; previously ; prior to,4.0,f,丿,-0.13961370975941292
之外,zhī wài,excluding ; outside,5.0,f,丿,3.2383344673070664
之后,zhī hòu,(at the beginning of a sentence) afterwards; since then ; after; behind,4.0,"f,t",丿,-1.0084636837107541
之间,zhī jiān,"(after a noun) between; among; amid ; (used after certain bisyllabic words to form expressions indicating a short period of time, e.g. 弹指之间)",4.0,f,丿,-0.16655079722977845
乖巧,guāi qiǎo,clever (child) ; cute ; lovable ; smart,7.0,a,丿,-0.9228000933355184
乘坐,chéng zuò,to ride (in a vehicle),5.0,v,丿,0.9916001145910487
乘客,chéng kè,passenger,5.0,n,丿,-0.9862133580238363
乘车,chéng chē,to drive ; to motor ; to ride (in a car or carriage),5.0,v,丿,-0.28620520331946825
乞丐,qǐ gài,beggar,7.0,n,乙,-0.41026240996905383
乞求,qǐ qiú,to beg,7.0,v,乙,1.532376763701058
乞讨,qǐ tǎo,to beg ; to go begging,7.0,"v,vn",乙,1.749920623149416
也好,yě hǎo,(reduplicated) regardless of whether ... or ... ; may as well ; that's fine,5.0,"y,d",乚,1.6535698381496473
也许,yě xǔ,maybe ; perhaps,2.0,d,乚,-0.5021750160555547
干旱,gān hàn,arid ; drought ; dry,7.0,"an,a",十,1.8344125230787909
干杯,gān bēi,Bottoms up! ; Cheers! (proposing a toast) ; Here's to you! ; lit. dry cup ; to drink a toast,2.0,v,十,-0.9427306236996277
干净,gān jìng,clean ; neat,1.0,"a,ad",十,-0.43448913863465727
干燥,gān zào,"arid ; desiccation ; dull ; to dry (of weather, paint, cement etc) ; uninteresting",7.0,"a,an,ad",十,0.012706048202633062
干脆,gān cuì,candid ; direct and to the point ; just ; might as well ; simply,5.0,"d,a",十,-0.43644195604442826
了却,liǎo què,to resolve ; to settle,7.0,v,亅,5.776654174862005
了结,liǎo jié,to conclude ; to finish ; to settle ; to wind up,7.0,v,亅,0.7785892435299031
予以,yǔ yǐ,to apply ; to give ; to impose,7.0,v,亅,6.121533522211814
事件,shì jiàn,event ; happening ; incident,3.0,n,亅,-0.5851046620571121
事先,shì xiān,before the event ; beforehand ; in advance ; prior,4.0,d,亅,1.6343020397065848
事务,shì wù,"(political, economic etc) affairs ; transaction (as in a computer database) ; work",7.0,n,亅,-0.7579940967354023
事宜,shì yí,arrangements ; matters,7.0,n,亅,2.0135391806838863
事实,shì shí,fact,3.0,n,亅,-1.166523498859251
事后,shì hòu,after the event ; in hindsight ; in retrospect,6.0,t,亅,0.06985850439523145
事情,shì qing,affair; matter; thing; business,2.0,n,亅,-0.33242188201735506
事态,shì tài,existing state of affairs ; situation,7.0,n,亅,-0.16889417812150306
事故,shì gù,accident,3.0,n,亅,0.3277605903121665
事业,shì yè,"(charitable, political or revolutionary) cause ; activity ; career ; occupation ; project ; publicly funded institution, enterprise or foundation ; undertaking",3.0,n,亅,-1.2099944403990008
事物,shì wù,thing; object,4.0,n,亅,-1.2056982420975066
事迹,shì jì,deed ; important event of the past ; past achievement,7.0,n,亅,0.8085442365974984
事项,shì xiàng,item ; matter,7.0,n,亅,0.6984053346864809
二手,èr shǒu,"assistant ; indirectly acquired ; second-hand (information, equipment etc)",4.0,b,二,-0.4174109476870853
互信,hù xìn,mutual trust,7.0,"v,vn",二,-0.42835851796625407
互助,Hù zhù | hù zhù,"Huzhu Tuzu autonomous county in Haidong prefecture 海东地区, Qinghai ; to help each other",7.0,"vn,v",二,-1.1106611281553755
互动,hù dòng,interactive ; to interact,6.0,"vn,v",二,-0.8276445843505266
互相,hù xiāng,each other ; mutual ; mutually,3.0,"d,b",二,-0.19101431598110297
互补,hù bǔ,complementary ; to complement each other,7.0,"v,vn",二,0.5083311068022169
亚军,yà jūn,runner-up ; second place (in a sports contest),5.0,n,一,0.4213538453693412
交付,jiāo fù,to deliver ; to hand over,7.0,"v,vn",亠,1.2230386932090578
交代,jiāo dài,(jocular) to come to a bad end ; to confess; to account for oneself ; to explain; to give an account; to brief ; to give instructions; to tell (sb to do sth) ; to transfer (duties to sb else),5.0,"v,vn",亠,-0.4951330805959249
交叉,jiāo chā,to cross ; to intersect ; to overlap,7.0,"v,vn,d",亠,1.408710120533427
交往,jiāo wǎng,(interpersonal) relationship ; association ; contact ; to associate (with) ; to date ; to hang out (with) ; to have contact (with),3.0,"vn,v",亠,-0.26575392164608597
交情,jiāo qing,friendly relations ; friendship,7.0,n,亠,0.002693378283606967
交接,jiāo jiē,(of two things) to come into contact ; to associate with ; to hand over to ; to have friendly relations with ; to have sexual intercourse ; to meet ; to take over from,7.0,"vn,v",亠,-0.029321034452159955
交换,jiāo huàn,commutative (math) ; to commute ; to exchange ; to swap ; to switch (telecom),4.0,"v,vn",亠,-0.006431562413110157
交易,jiāo yì,to deal; to trade; to transact ; transaction; deal,3.0,"n,vn,v",亠,-1.2176755222107627
交替,jiāo tì,alternately; in turn ; to replace,7.0,"v,d,vn",亠,0.10019226816032188
交流,jiāo liú,communication ; exchange ; interaction ; to exchange ; to have social contact (with sb),3.0,"vn,v",亠,-0.4552956054366196
交涉,jiāo shè,to have dealings (with) ; to negotiate (with),7.0,"v,vn",亠,0.073397161301733
交界,jiāo jiè,common border ; common boundary,7.0,"v,vn",亠,0.41291522216258947
交纳,jiāo nà,to pay (taxes or dues),7.0,v,亠,3.7302788883883706
交给,jiāo gěi,to give; to deliver; to hand over,2.0,v,亠,-0.8673400788980538
交谈,jiāo tán,chat; discussion ; to discuss; to converse,7.0,"v,vn",亠,-0.7368918759254293
交通,jiāo tōng,communications ; liaison ; to be connected ; traffic ; transportation,2.0,n,亠,-1.3616632592244575
交际,jiāo jì,communication ; social intercourse,4.0,"v,vn",亠,0.1878204687297859
享受,xiǎng shòu,pleasure ; to enjoy ; to live it up,5.0,"v,vn",亠,-1.1246030184628582
享有,xiǎng yǒu,"to enjoy (rights, privileges etc)",7.0,v,亠,1.2302108164960055
京剧,Jīng jù,Beijing opera,3.0,n,亠,0.09212062286660652
亮相,liàng xiàng,"(fig.) to make a public appearance ; (of a product) to appear on the market or at a trade show etc ; to come out in public (revealing one's true personality, opinions etc) ; to strike a pose (Chinese opera)",7.0,v,亠,0.510804675521258
亮丽,liàng lì,bright and beautiful,7.0,a,亠,-0.06240053537538743
人事,rén shì,(euphemism) sexuality ; human affairs ; human resources ; personnel ; the facts of life ; ways of the world,7.0,n,人,-0.19491995080064203
人们,rén men,people,2.0,n,人,-0.8147441966615868
人力,rén lì,labor power ; manpower,5.0,n,人,-0.9958354644609088
人口,rén kǒu,people ; population,2.0,n,人,-1.1046842808832062
人品,rén pǐn,appearance ; bearing ; character ; looks (colloquial) ; moral quality ; moral standing ; personality,7.0,n,人,-0.852510459368262
人员,rén yuán,crew ; personnel ; staff,3.0,n,人,-0.23790551938449533
人士,rén shì,figure ; person ; public figure,5.0,n,人,-0.1144638735181256
人家,rén jia | rén jiā,"I, me (referring to oneself as ""one"" or ""people"") ; dwelling ; family ; he, she or they ; house of woman's husband-to-be ; household ; household business ; other people ; sb else ; sb else's house",4.0,"r,n",人,-1.2533469868958917
人工,rén gōng,artificial ; manpower ; manual work,3.0,"b,d,n",人,0.04135916299704851
人性,rén xìng,human ; human nature ; humanity ; the totality of human attributes,7.0,n,人,-1.5950900336056124
人情,rén qíng,a good turn ; favor ; friendship ; human emotions ; social relationship,7.0,n,人,-0.8867616507373504
